Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
21 SEP 2020,318,318,310,311.8,83,43526,13566978.4
18 SEP 2020,314.9,315.9,312,315,48,6596,2076137.5
17 SEP 2020,321,321,312.6,317.6,96,29337,9324037
16 SEP 2020,320,325,318,318.6,109,40243,12880586.3
15 SEP 2020,305,325,305,319.6,275,90710,28479792
14 SEP 2020,299,305,297.5,300.1,99,96605,28986718.5
11 SEP 2020,299,299,296,297.1,26,8812,2614912.7
10 SEP 2020,298,298,294.5,295.1,52,26567,7866615.7
9 SEP 2020,299,299.8,297.1,297.9,61,50552,15090734.8
8 SEP 2020,299.9,300,296,297,107,60003,17949361.3
7 SEP 2020,293.5,299,293.5,295.8,53,14597,4312101.8
4 SEP 2020,290.6,294,289,292.9,74,61795,18064594.7
3 SEP 2020,294,294,290,291.9,26,28232,8233798
2 SEP 2020,290,300,289.1,291.6,130,44815,13172574.5
31 AUG 2020,280,288.9,280,288.1,115,38780,11096517.6
28 AUG 2020,273.1,280,273.1,277.8,131,58533,16243789.8
27 AUG 2020,273.1,277,273,274.3,31,3840,1055894.2
26 AUG 2020,276,276.1,274,275.3,30,11927,3277070.7
25 AUG 2020,275,277.9,273.2,275.9,25,18361,5064718.9
24 AUG 2020,279.3,280,277,277.6,53,43466,12093630.7
21 AUG 2020,275,279.6,275,278,69,35466,9828526.1
20 AUG 2020,268,272,265,269.2,107,100927,27128470.1
19 AUG 2020,267.9,270,262,264.9,61,26639,7059105.5
18 AUG 2020,275,279.8,263,268,92,35869,9650691
17 AUG 2020,279.4,279.4,270,270.9,59,5639,1532771.2
14 AUG 2020,297.1,298,270.1,278.6,175,53908,15678734.7
13 AUG 2020,275,291.1,275,290.3,188,111120,31788532.3
12 AUG 2020,270,274.4,270,271.7,94,28628,7780055.3
11 AUG 2020,258.9,270,258.5,268,131,76309,20357351.4
10 AUG 2020,260,260,257,257.8,60,17166,4437007.5
7 AUG 2020,254.5,260,252,256.2,107,111795,28567315.2
6 AUG 2020,252,254.9,252,254.5,25,13052,3320628.2
5 AUG 2020,252,252,251.1,252,5,2300,579510
4 AUG 2020,250,250,250,250,79,63410,15852500
31 JUL 2020,249.9,249.9,245.1,249.3,19,1753,435457.1
30 JUL 2020,249.9,250,243.1,249.8,29,8815,2199617.6
29 JUL 2020,249,250,248.2,248.8,27,4349,1082861
28 JUL 2020,248.9,250,248.9,250,36,6895,1722215.2
27 JUL 2020,255,255,240,243.2,57,19761,4957174.8
24 JUL 2020,259.8,259.8,253,255.2,75,37827,9657218
23 JUL 2020,241,260,241,254.7,136,99609,24949471.3
22 JUL 2020,228,244,228,239.1,119,22940,5481040.2
21 JUL 2020,215,230,215,223,238,228469,49684906.1
20 JUL 2020,215,215,214.8,214.9,46,29180,6272254.4
17 JUL 2020,214,214,214,214,2,652,139528
16 JUL 2020,210.5,210.5,210.5,210.5,1,100,21050
15 JUL 2020,210,214,210,210.5,3,601,126264
14 JUL 2020,213,213,210,210,7,576,121260
13 JUL 2020,212,214,210,211.8,9,3230,684580
10 JUL 2020,215,215,214,214.2,27,8145,1748952.5
9 JUL 2020,215,215,214,214.9,46,42683,9171442
8 JUL 2020,215,215,215,215,7,1907,410005
7 JUL 2020,214,215,210,214.7,48,101154,21714623.2
6 JUL 2020,210.8,211,207,207.2,13,5535,1147286
3 JUL 2020,207.1,210.7,207,210.1,14,12392,2600260.7
2 JUL 2020,207.8,211,207,207.9,37,9592,2011170.4
1 JUL 2020,210,210,207.6,208.1,7,2962,616009.9
30 JUN 2020,210,210,209.9,210,11,7337,1540760
29 JUN 2020,206.9,207.5,206.9,207.5,14,56995,11826387.1
26 JUN 2020,201,206.9,201,206.9,8,569,115905
25 JUN 2020,201,201.1,201,201,3,26,5228.5
24 JUN 2020,207.8,207.8,201,201,3,1201,241407.8
23 JUN 2020,208,208,208,208,2,501,104208
22 JUN 2020,200,208,197,208,31,57992,12020228.2
19 JUN 2020,202.7,202.7,200,201.9,21,3610,729818
18 JUN 2020,208.8,208.8,202.4,204.6,38,4275,873532.5
17 JUN 2020,209,209,203.1,208.9,10,11113,2321413.9
16 JUN 2020,212,212,209.5,209.8,24,4579,966705.7
15 JUN 2020,210,211,210,210.5,8,20049,4220091
12 JUN 2020,200.1,215,200,210.5,92,203781,43650775.3
11 JUN 2020,199,204.9,198.8,200.6,50,19536,3904454.7
10 JUN 2020,199.4,199.4,194.9,191,3,3,593.7
9 JUN 2020,198,199.5,190,191,17,1881,369198
8 JUN 2020,193.5,195,193.5,194.9,15,4937,962635.9
4 JUN 2020,193,195,193,194.3,14,500,97158.2
3 JUN 2020,189,192,189,191.5,15,1000,191744.4
2 JUN 2020,189.5,189.5,182.8,182.3,6,71,12988.9
29 MAY 2020,183,183,182,182.3,4,110,20050
28 MAY 2020,180,180,180,180.1,1,10,1800
27 MAY 2020,190,190,190,180.1,1,1,190
26 MAY 2020,180.2,180.2,180,180.1,9,2310,415880.4
22 MAY 2020,180,189.9,173,180,31,41413,7454640.5
21 MAY 2020,180,182,172.1,172.3,15,946,169512
19 MAY 2020,179.9,180,179.9,180,10,3002,540359.6
18 MAY 2020,174,178.9,174,175.9,23,948,165703
15 MAY 2020,168,175,168,175,26,12390,2155395.6
14 MAY 2020,176.8,176.8,176.6,176.6,3,215,37989
13 MAY 2020,160,179,160,179,13,2892,498666.6
12 MAY 2020,150,179.9,150,160.1,27,16121,2530815.2
20 MAR 2020,160,160,159.9,160,10,1359,217439.9
13 MAR 2020,165.1,179.7,164.1,166,17,1816,299226.4
12 MAR 2020,174.2,175,171,172.5,14,829,143266.1
11 MAR 2020,175,189.7,174.2,176,10,2101,369929.7
