"Date","Price","Open","High","Low","Change %"
"10/18/2016","12.100","12.100","12.100","12.100","0.00%"
"10/17/2016","12.100","12.100","12.100","12.100","0.17%"
"10/14/2016","12.079","12.079","12.079","12.079","0.73%"
"10/13/2016","11.992","11.992","11.992","11.992","0.65%"
"10/12/2016","11.914","11.914","11.914","11.914","0.75%"
"10/11/2016","11.825","11.825","11.825","11.825","1.15%"
"10/10/2016","11.690","11.690","11.690","11.690","0.06%"
"10/07/2016","11.683","11.683","11.683","11.683","0.20%"
"10/06/2016","11.660","11.660","11.660","11.660","0.59%"
"10/05/2016","11.592","11.592","11.592","11.592","0.87%"
"10/04/2016","11.492","11.492","11.492","11.492","1.64%"
"10/03/2016","11.307","11.307","11.307","11.307","0.85%"
"09/30/2016","11.212","11.212","11.212","11.212","-1.55%"
"09/29/2016","11.388","11.388","11.388","11.388","0.00%"
"09/28/2016","11.388","11.388","11.388","11.388","-0.34%"
"09/27/2016","11.427","11.427","11.427","11.427","-0.44%"
"09/26/2016","11.477","11.477","11.477","11.477","-1.20%"
"09/23/2016","11.616","11.616","11.616","11.616","-1.03%"
"09/22/2016","11.737","11.737","11.737","11.737","-0.25%"
"09/21/2016","11.767","11.767","11.767","11.767","0.66%"
"09/20/2016","11.690","11.690","11.690","11.690","0.12%"
"09/19/2016","11.676","11.676","11.676","11.676","0.03%"
"09/15/2016","11.672","11.672","11.672","11.672","-0.24%"
"09/14/2016","11.700","11.700","11.700","11.700","0.14%"
"09/13/2016","11.684","11.684","11.684","11.684","0.29%"
"09/09/2016","11.650","11.650","11.650","11.650","0.00%"
"09/08/2016","11.650","11.650","11.650","11.650","0.59%"
"09/07/2016","11.582","11.582","11.582","11.582","-1.43%"
"09/06/2016","11.750","11.750","11.750","11.750","-2.35%"
"09/05/2016","12.033","12.033","12.033","12.033","-0.96%"
"09/02/2016","12.150","12.150","12.150","12.150","-0.82%"
"09/01/2016","12.250","12.250","12.250","12.250","-0.81%"
"08/31/2016","12.350","12.350","12.350","12.350","-0.15%"
"08/30/2016","12.368","12.368","12.368","12.368","0.01%"
"08/29/2016","12.367","12.367","12.367","12.367","0.02%"
"08/26/2016","12.365","12.365","12.365","12.365","-1.57%"
"08/25/2016","12.562","12.562","12.562","12.562","-0.38%"
"08/24/2016","12.610","12.610","12.610","12.610","-0.03%"
"08/23/2016","12.614","12.614","12.614","12.614","0.11%"
"08/22/2016","12.600","12.600","12.600","12.600","0.00%"
"08/19/2016","12.600","12.600","12.600","12.600","0.16%"
"08/18/2016","12.580","12.580","12.580","12.580","0.15%"
"08/16/2016","12.561","12.561","12.561","12.561","0.49%"
"08/15/2016","12.500","12.500","12.500","12.500","0.00%"
"08/12/2016","12.500","12.500","12.500","12.500","0.00%"
"08/11/2016","12.500","12.500","12.500","12.500","0.14%"
"08/10/2016","12.482","12.482","12.482","12.482","-0.06%"
"08/09/2016","12.489","12.489","12.489","12.489","-0.09%"
"08/08/2016","12.500","12.500","12.500","12.500","-0.89%"
"08/05/2016","12.612","12.612","12.612","12.612","-0.22%"
"08/04/2016","12.640","12.640","12.640","12.640","-0.08%"
"08/03/2016","12.650","12.650","12.650","12.650","0.00%"
"08/02/2016","12.650","12.650","12.650","12.650","0.20%"
"08/01/2016","12.625","12.625","12.625","12.625","0.29%"
"07/29/2016","12.588","12.588","12.588","12.588","0.44%"
"07/28/2016","12.533","12.533","12.533","12.533","-0.21%"
"07/27/2016","12.560","12.560","12.560","12.560","0.34%"
"07/26/2016","12.517","12.517","12.517","12.517","1.56%"
"07/25/2016","12.325","12.325","12.325","12.325","0.20%"
"07/22/2016","12.300","12.300","12.300","12.300","0.06%"
"07/21/2016","12.293","12.293","12.293","12.293","-0.06%"
"07/20/2016","12.300","12.300","12.300","12.300","0.20%"
"07/18/2016","12.275","12.275","12.275","12.275","0.29%"
"07/15/2016","12.240","12.240","12.240","12.240","0.05%"
"07/14/2016","12.234","12.234","12.234","12.234","-0.29%"
"07/13/2016","12.269","12.269","12.269","12.269","-0.25%"
"07/12/2016","12.300","12.300","12.300","12.300","-0.91%"
"07/11/2016","12.413","12.413","12.413","12.413","-0.76%"
"07/08/2016","12.508","12.508","12.508","12.508","-1.70%"
"07/07/2016","12.724","12.724","12.724","12.724","-0.92%"
"07/05/2016","12.842","12.842","12.842","12.842","0.22%"
"07/04/2016","12.814","12.814","12.814","12.814","1.73%"
"07/01/2016","12.596","12.596","12.596","12.596","-0.65%"
"06/30/2016","12.679","12.679","12.679","12.679","0.03%"
"06/29/2016","12.675","12.675","12.675","12.675","0.60%"
"06/28/2016","12.600","12.600","12.600","12.600","-1.09%"
"06/27/2016","12.739","12.739","12.739","12.739","-0.61%"
"06/24/2016","12.817","12.817","12.817","12.817","0.47%"
"06/23/2016","12.757","12.757","12.757","12.757","0.22%"
"06/22/2016","12.729","12.729","12.729","12.729","-0.55%"
"06/21/2016","12.800","12.800","12.800","12.800","0.47%"
"06/20/2016","12.740","12.740","12.740","12.740","1.14%"
"06/17/2016","12.596","12.596","12.596","12.596","0.04%"
"06/16/2016","12.591","12.591","12.591","12.591","0.26%"
"06/15/2016","12.558","12.558","12.558","12.558","0.22%"
"06/14/2016","12.530","12.530","12.530","12.530","0.10%"
"06/13/2016","12.517","12.517","12.517","12.517","0.81%"
"06/10/2016","12.416","12.416","12.416","12.416","-0.53%"
"06/09/2016","12.482","12.482","12.482","12.482","-0.09%"
"06/08/2016","12.493","12.493","12.493","12.493","-0.01%"
"06/07/2016","12.494","12.494","12.494","12.494","0.02%"
"06/06/2016","12.492","12.492","12.492","12.492","-0.20%"
"06/03/2016","12.517","12.517","12.517","12.517","-0.02%"
"06/02/2016","12.519","12.519","12.519","12.519","-0.64%"
"06/01/2016","12.600","12.600","12.600","12.600","-0.23%"
"05/31/2016","12.629","12.629","12.629","12.629","0.17%"
"05/30/2016","12.607","12.607","12.607","12.607","-0.14%"
"05/27/2016","12.625","12.625","12.625","12.625","-3.04%"
"05/26/2016","13.021","13.021","13.021","13.021","0.78%"
"05/25/2016","12.920","12.920","12.920","12.920","1.49%"
"05/24/2016","12.730","12.730","12.730","12.730","-0.16%"
"05/20/2016","12.750","12.750","12.750","12.750","1.59%"
"05/19/2016","12.550","12.550","12.550","12.550","0.00%"
"05/18/2016","12.550","12.550","12.550","12.550","0.29%"
"05/17/2016","12.514","12.514","12.514","12.514","1.88%"
"05/16/2016","12.283","12.283","12.283","12.283","0.80%"
"05/13/2016","12.186","12.186","12.186","12.186","-0.06%"
"05/12/2016","12.193","12.193","12.193","12.193","-0.26%"
"05/11/2016","12.225","12.225","12.225","12.225","1.39%"
"05/10/2016","12.057","12.057","12.057","12.057","0.42%"
"05/09/2016","12.007","12.007","12.007","12.007","0.58%"
"05/06/2016","11.938","11.938","11.938","11.938","0.40%"
"05/05/2016","11.890","11.890","11.890","11.890","-0.97%"
"05/04/2016","12.006","12.006","12.006","12.006","-0.03%"
"05/03/2016","12.010","12.010","12.010","12.010","-1.75%"
"04/29/2016","12.224","12.224","12.224","12.224","-0.80%"
"04/28/2016","12.322","12.322","12.322","12.322","0.15%"
"04/27/2016","12.304","12.304","12.304","12.304","0.05%"
"04/26/2016","12.298","12.298","12.298","12.298","0.47%"
"04/25/2016","12.241","12.241","12.241","12.241","-0.45%"
"04/22/2016","12.296","12.296","12.296","12.296","0.18%"
"04/20/2016","12.274","12.274","12.274","12.274","0.20%"
"04/19/2016","12.249","12.249","12.249","12.249","-0.72%"
"04/18/2016","12.338","12.338","12.338","12.338","-0.20%"
"04/15/2016","12.363","12.363","12.363","12.363","-0.03%"
