Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
31 MAY 2016,155,155,155,155,5,700,108500
30 MAY 2016,159,160,155.2,155.2,11,16853,2621740.4
26 MAY 2016,155,155,155,155,3,125,19375
25 MAY 2016,160,160,160,160,2,3000,480000
24 MAY 2016,158,158,158,158,4,102,16116
19 MAY 2016,159,164,159,159,2,15020,2388280
17 MAY 2016,158.1,160,158.1,160,7,10111,1617758.1
16 MAY 2016,161,161,158,159,5,126,20056
13 MAY 2016,158,158,158,160,1,1,158
12 MAY 2016,160,161,160,160,10,6223,995683
11 MAY 2016,161,161,160,160.8,6,6001,965161
10 MAY 2016,160,161.5,160,161.5,11,12401,1987161.5
9 MAY 2016,161.5,161.5,160,160,7,61116,9778600.5
6 MAY 2016,158,158,158,163.7,2,20,3160
5 MAY 2016,160,160,160,163.7,2,45,7200
3 MAY 2016,154,168.9,154,163.7,5,430,68550
29 APR 2016,150.2,151.1,150.2,151.1,2,1500,225750
28 APR 2016,150.1,154.9,150.1,150.3,7,1091,163987.7
27 APR 2016,150,152,150,152,23,16876,2533500
26 APR 2016,150,150,147.1,152,2,10,1473.9
25 APR 2016,154.9,154.9,151.9,152,3,280,42588.5
22 APR 2016,155,155,155,147,2,16,2480
20 APR 2016,146.2,148,146,147,11,37609,5527943
18 APR 2016,150,150,147,147.1,9,50510,7475050
15 APR 2016,150,150,147.1,150,2,1501,225147.1
12 APR 2016,148,150.1,148,149,18,27091,4039374
11 APR 2016,149,149,146,146,3,23535,3436133
8 APR 2016,146,148,146,146.3,19,35500,5187750
7 APR 2016,145.9,147.9,145.9,146.1,8,6100,891475.4
6 APR 2016,145,147.9,145,145,15,15086,2187484.5
5 APR 2016,141.5,141.5,140,140,76,1136200,159125067.7
1 APR 2016,144,144,141,141,4,844,119035
31 MAR 2016,150,150,150,150,1,50,7500
30 MAR 2016,150,150,150,150,3,71,10650
28 MAR 2016,150,150,150,150,1,1500,225000
24 MAR 2016,153.5,153.5,150,150.2,9,88440,13568450
21 MAR 2016,150.1,150.1,150,150.1,6,19242,2887824.2
18 MAR 2016,150,150,150,150,7,18400,2760000
14 MAR 2016,151.1,151.1,151,150,3,79,11929.3
9 MAR 2016,155,155,150,150,15,1655,248333
8 MAR 2016,169.8,169.8,152,155,3,3,473.8
4 MAR 2016,155,169.9,155,155,9,2519,390474.7
2 MAR 2016,159,160,159,159,4,607,96535
1 MAR 2016,159,159,159,160.2,2,90,14310
29 FEB 2016,159,159,159,160.2,1,1,159
26 FEB 2016,160.2,160.2,160.2,160.2,2,1005,161001
25 FEB 2016,162,162,162,162,1,145,23490
24 FEB 2016,163,163,163,163,18,5411,881993
23 FEB 2016,165,165,163,164.9,2,105,17315
