Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
14 NOV 2022,46.5,47.2,45.6,46.1,112,489482,22616854.2
11 NOV 2022,46.8,47.3,45.6,46.5,80,39472,1838980.5
10 NOV 2022,45.4,46.3,45.2,46,42,48145,2210003
9 NOV 2022,45,45.5,44.5,45.4,76,37608,1686180.7
8 NOV 2022,47,47,44.1,44.9,258,124701,5648011.2
4 NOV 2022,45.9,47,44.9,45.7,89,331801,15067418.7
3 NOV 2022,44,46.5,44,45.2,108,491261,21828318.5
2 NOV 2022,45,45,43.9,44,225,545662,24169324.5
1 NOV 2022,45.7,45.9,44.8,45,159,1053058,47392936.3
31 OCT 2022,46.2,46.5,45.7,46,63,95438,4401945.5
28 OCT 2022,46.6,47,45.6,46,72,101313,4701243.3
27 OCT 2022,45.9,47,45,46.6,58,115225,5359164.3
26 OCT 2022,45,46,44,45.1,113,111553,5025908.4
25 OCT 2022,45.8,46,44.5,44.9,97,976988,44883644.5
21 OCT 2022,46.2,46.5,45,45.3,120,73888,3366347.8
20 OCT 2022,47,47.1,46.2,46.6,51,15748,738249.9
19 OCT 2022,48,48,46.8,47,55,42562,2024166.4
18 OCT 2022,48,48,46.6,47.3,97,61524,2907348.5
17 OCT 2022,49.5,49.5,47.5,47.5,107,95043,4525873.9
14 OCT 2022,49.6,52,48.1,48.2,206,721509,35545865
13 OCT 2022,47.5,50,46.9,49.2,215,469458,22704459.2
12 OCT 2022,47.4,48.5,43,46.7,222,234621,10886300
11 OCT 2022,50,50,47,47.4,245,620081,29569754.6
7 OCT 2022,51.4,51.4,49.5,50.1,141,238279,11914790.3
6 OCT 2022,51.5,52,50,50.5,123,310510,15778047.5
5 OCT 2022,52,53,50,50.2,142,408939,20968992.8
4 OCT 2022,52,53,49.1,50.6,221,610397,31861124.6
3 OCT 2022,55,55,47,52.6,204,400648,21357160.8
30 SEP 2022,55.5,55.5,54.3,54.7,188,744277,40938685
29 SEP 2022,54.4,56,54,54.9,207,562506,30850876
28 SEP 2022,55,55,53,53.8,269,665493,35849701.8
27 SEP 2022,53,54,52.6,53.3,163,282854,15015752.4
26 SEP 2022,54,54,52.8,53.3,135,128403,6876131.5
