"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2002","96.250","96.200","96.200","96.100","","0.00%"
"05/28/2002","96.250","96.220","96.220","96.100","","-0.05%"
"05/27/2002","96.300","96.150","96.150","96.150","","0.00%"
"05/24/2002","96.300","96.150","96.260","96.130","","0.05%"
"05/23/2002","96.250","96.250","96.250","96.250","","0.00%"
"05/22/2002","96.250","96.250","96.250","96.250","","0.00%"
"05/21/2002","96.250","96.250","96.250","96.250","","0.00%"
"05/20/2002","96.250","96.250","96.250","96.250","","0.00%"
"05/17/2002","96.250","96.250","96.250","96.250","","0.00%"
"05/16/2002","96.250","96.250","96.250","96.250","","0.05%"
"05/15/2002","96.200","96.200","96.200","96.200","","0.10%"
"05/14/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/13/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/10/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/09/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/08/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/07/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/06/2002","96.100","96.100","96.100","96.100","","0.00%"
"05/03/2002","96.100","96.100","96.100","96.100","","0.05%"
"05/02/2002","96.050","96.050","96.050","96.050","","0.00%"
"05/01/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/30/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/29/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/26/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/25/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/24/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/23/2002","96.050","96.050","96.050","96.050","","0.00%"
"04/22/2002","96.050","96.050","96.050","96.050","","0.05%"
"04/19/2002","96.000","96.000","96.000","96.000","","0.10%"
"04/18/2002","95.900","95.900","95.900","95.900","","0.00%"
"04/17/2002","95.900","95.900","95.900","95.900","","0.00%"
"04/16/2002","95.900","95.900","95.900","95.900","","0.21%"
"04/15/2002","95.700","95.700","95.700","95.700","","0.00%"
"04/12/2002","95.700","95.700","95.700","95.700","","0.05%"
"04/11/2002","95.650","95.650","95.650","95.650","","-0.10%"
"04/10/2002","95.750","95.750","95.750","95.750","","0.00%"
"04/09/2002","95.750","95.750","95.750","95.750","","-0.10%"
"04/08/2002","95.850","95.850","95.850","95.850","","-0.10%"
"04/05/2002","95.950","95.950","95.950","95.950","","0.10%"
"04/04/2002","95.850","95.850","95.850","95.850","","-0.05%"
"04/03/2002","95.900","95.900","95.900","95.900","","0.31%"
"04/02/2002","95.600","95.600","95.600","95.600","","0.00%"
"04/01/2002","95.600","95.600","95.600","95.600","","0.00%"
"03/29/2002","95.600","95.600","95.600","95.600","","0.00%"
"03/28/2002","95.600","95.600","95.600","95.600","","0.00%"
"03/27/2002","95.600","95.600","95.600","95.600","","0.26%"
"03/26/2002","95.350","95.350","95.350","95.350","","0.00%"
"03/25/2002","95.350","95.350","95.350","95.350","","0.00%"
"03/22/2002","95.350","95.350","95.350","95.350","","0.10%"
"03/21/2002","95.250","95.250","95.250","95.250","","0.37%"
"03/20/2002","94.900","94.900","94.900","94.900","","0.11%"
"03/19/2002","94.800","94.800","94.800","94.800","","0.00%"
"03/18/2002","94.800","94.800","94.800","94.800","","0.00%"
"03/15/2002","94.800","94.800","94.800","94.800","","0.11%"
"03/14/2002","94.700","94.700","94.700","94.700","","0.32%"
"03/13/2002","94.400","94.400","94.400","94.400","","0.00%"
"03/12/2002","94.400","94.400","94.400","94.400","","0.00%"
"03/11/2002","94.400","94.400","94.400","94.400","","0.05%"
"03/08/2002","94.350","94.350","94.350","94.350","","0.11%"
"03/07/2002","94.250","94.250","94.250","94.250","","0.00%"
"03/06/2002","94.250","94.250","94.250","94.250","","0.21%"
"03/05/2002","94.050","94.050","94.050","94.050","","0.32%"
"03/04/2002","93.750","93.750","93.750","93.750","","0.00%"
"03/01/2002","93.750","93.750","93.750","93.750","","0.16%"
"02/28/2002","93.600","93.600","93.600","93.600","","0.00%"
"02/27/2002","93.600","93.600","93.600","93.600","","0.00%"
"02/26/2002","93.600","93.600","93.600","93.600","","0.05%"
"02/25/2002","93.550","93.550","93.550","93.550","","0.00%"
"02/22/2002","93.550","93.550","93.550","93.550","","0.00%"
"02/21/2002","93.550","93.550","93.550","93.550","","0.00%"
"02/20/2002","93.550","93.550","93.550","93.550","","0.11%"
"02/19/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/18/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/15/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/14/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/13/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/12/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/11/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/08/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/07/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/06/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/05/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/04/2002","93.450","93.450","93.450","93.450","","0.00%"
"02/01/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/31/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/30/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/29/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/28/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/25/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/24/2002","93.450","93.450","93.450","93.450","","-0.04%"
"01/23/2002","93.490","93.490","93.490","93.490","","0.04%"
"01/22/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/21/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/18/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/17/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/16/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/15/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/14/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/11/2002","93.450","93.450","93.450","93.450","","0.00%"
"01/10/2002","93.450","93.450","93.450","93.450","","0.32%"
"01/09/2002","93.150","93.150","93.150","93.150","","0.11%"
"01/08/2002","93.050","93.050","93.050","93.050","","0.05%"
"01/07/2002","93.000","93.000","93.000","93.000","","0.00%"
"01/04/2002","93.000","93.000","93.000","93.000","","0.00%"
"01/03/2002","93.000","93.000","93.000","93.000","","0.00%"
"01/02/2002","93.000","93.000","93.000","93.000","","0.00%"
"12/31/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/28/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/27/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/26/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/25/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/24/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/21/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/20/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/19/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/18/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/17/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/14/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/13/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/12/2001","93.000","93.000","93.000","93.000","","0.00%"
"12/11/2001","93.000","93.000","93.000","93.000","","-0.16%"
"12/10/2001","93.150","93.150","93.150","93.150","","0.00%"
"12/07/2001","93.150","93.150","93.150","93.150","","0.00%"
"12/06/2001","93.150","93.150","93.150","93.150","","0.00%"
"12/05/2001","93.150","93.150","93.150","93.150","","0.00%"
"12/04/2001","93.150","93.150","93.150","93.150","","-0.12%"
"12/03/2001","93.260","93.260","93.260","93.260","","0.12%"
"11/30/2001","93.150","93.150","93.150","93.150","","0.00%"
"11/29/2001","93.150","93.150","93.150","93.150","","0.05%"
"11/28/2001","93.100","93.100","93.100","93.100","","0.11%"
"11/27/2001","93.000","93.000","93.000","93.000","","0.00%"
"11/26/2001","93.000","93.000","93.000","93.000","","0.00%"
"11/23/2001","93.000","93.000","93.000","93.000","","-0.24%"
"11/22/2001","93.225","93.225","93.225","93.225","","0.24%"
"11/21/2001","93.000","93.000","93.000","93.000","","0.00%"
"11/20/2001","93.000","93.000","93.000","93.000","","0.49%"
"11/19/2001","92.550","92.550","92.550","92.550","","0.22%"
"11/16/2001","92.350","92.350","92.350","92.350","","0.22%"
"11/15/2001","92.150","92.150","92.150","92.150","","0.00%"
"11/14/2001","92.150","92.150","92.150","92.150","","0.00%"
"11/13/2001","92.150","92.150","92.150","92.150","","0.00%"
"11/12/2001","92.150","92.150","92.150","92.150","","0.00%"
"11/09/2001","92.150","92.150","92.150","92.150","","-0.05%"
"11/08/2001","92.200","92.200","92.200","92.200","","0.00%"
"11/07/2001","92.200","92.200","92.200","92.200","","0.05%"
"11/06/2001","92.150","92.150","92.150","92.150","","0.11%"
"11/05/2001","92.050","92.050","92.050","92.050","","0.11%"
"11/02/2001","91.950","91.950","91.950","91.950","","0.00%"
"11/01/2001","91.950","91.950","91.950","91.950","","0.22%"
"10/31/2001","91.750","91.750","91.750","91.750","","0.00%"
"10/30/2001","91.750","91.750","91.750","91.750","","0.16%"
"10/29/2001","91.600","91.600","91.600","91.600","","0.00%"
"10/26/2001","91.600","91.600","91.600","91.600","","0.16%"
"10/25/2001","91.450","91.450","91.450","91.450","","0.00%"
"10/24/2001","91.450","91.450","91.450","91.450","","0.00%"
"10/23/2001","91.450","91.450","91.450","91.450","","0.11%"
"10/22/2001","91.350","91.350","91.350","91.350","","0.22%"
"10/19/2001","91.150","91.150","91.150","91.150","","0.22%"
"10/18/2001","90.950","90.950","90.950","90.950","","0.00%"
"10/17/2001","90.950","90.950","90.950","90.950","","0.11%"
"10/16/2001","90.850","90.850","90.850","90.850","","0.50%"
"10/15/2001","90.400","90.400","90.400","90.400","","0.28%"
"10/12/2001","90.150","90.150","90.150","90.150","","0.00%"
