Date,Open,High (Rs.),Low (Rs.),Close (Rs.),Trade Volume,Share Volume,Turnover (Rs.)
10 DEC 2024,380.25,400,380.25,394.75,152,100068,39212547.25
9 DEC 2024,375.25,394.75,375.25,390,50,15380,5999142
6 DEC 2024,375.25,399,375.25,391.25,125,76443,30306279.25
5 DEC 2024,382,395,380.5,387.5,121,54694,21209616.25
4 DEC 2024,376.75,388,373.25,382.25,133,51612,19612359.75
3 DEC 2024,365,376.75,360,374.25,152,95546,35129128
2 DEC 2024,355,374.75,355,363.5,125,32313,11697370.25
29 NOV 2024,344,358,344,352.25,91,78476,27529278.5
28 NOV 2024,342,349,340,345,72,38581,13272258.5
27 NOV 2024,340.25,349.75,339,343,77,39608,13561617.5
26 NOV 2024,343,343,333,339,43,5307,1793096
25 NOV 2024,339.75,339.75,334,334,63,7927,2661862.5
22 NOV 2024,345,345,340,341.25,43,4715,1612166.25
21 NOV 2024,346.25,348,337,340.5,76,25915,8895581.75
20 NOV 2024,340,350,340,347.25,58,13313,4636868.25
19 NOV 2024,359.5,359.5,346.5,350,41,8243,2872566.5
18 NOV 2024,357,360,352,354.5,88,38979,13858645.5
14 NOV 2024,352,354.75,352,352.5,34,16235,5723012.5
13 NOV 2024,357.75,359.5,352,357.75,82,15604,5572300
12 NOV 2024,358,358,351,356.25,39,2986,1050886
11 NOV 2024,350.25,360,350,357.75,88,57150,20273890
8 NOV 2024,352.75,352.75,345,350,29,7844,2746194.75
7 NOV 2024,354,354,345,345.25,46,16493,5756267.25
6 NOV 2024,350,353,335,348.75,62,6468,2233583.75
5 NOV 2024,352.75,354.75,347.25,354,42,7650,2703596.25
4 NOV 2024,357.75,358,346.5,355,81,17296,6078496.25
1 NOV 2024,335,357.75,335,356.75,261,114919,39957044.5
30 OCT 2024,339,342,331.5,341.25,114,115431,39330767.5
29 OCT 2024,333,339.25,331,338.25,86,28779,9614914.5
28 OCT 2024,332.75,335,329,330.5,35,3215,1063209
25 OCT 2024,333.75,333.75,328.25,330,32,5213,1724364.75
24 OCT 2024,333.75,333.75,326.5,330,33,8853,2920871.5
23 OCT 2024,328,333,325.5,332.75,56,9452,3111336
22 OCT 2024,326,340,326,330.25,105,47285,15840519.5
21 OCT 2024,315,335,315,334,257,195604,64543464.25
18 OCT 2024,311,317.5,308.75,314.5,73,54706,17164565.75
16 OCT 2024,312.5,312.75,307,308.75,29,8558,2664432.25
15 OCT 2024,310,313,308.75,309,13,1787,554965.25
14 OCT 2024,311,311,308.25,309.75,17,1307,404325
11 OCT 2024,308,313,308,308.25,10,1338,412319.5
10 OCT 2024,313.5,313.5,308,311.5,28,6641,2056885
9 OCT 2024,309.75,314.5,309.75,310,21,10853,3384383
8 OCT 2024,307,313.75,307,308.5,66,25849,7994993.75
7 OCT 2024,308.5,308.5,303,305.25,27,3246,999641.5
4 OCT 2024,303.5,308,303.25,304,20,793,240895.75
3 OCT 2024,310,310,303.25,303.5,39,7334,2264264.25
2 OCT 2024,310,310,305,305,24,2033,622766.75
1 OCT 2024,308,309,305,308.5,38,2902,890696.5
30 SEP 2024,310,310,308,308,21,3173,982250.25
27 SEP 2024,303.5,309.75,303.5,307.75,35,3407,1048529.75
26 SEP 2024,313,314,302,305,38,12074,3702181.5
25 SEP 2024,304,315,304,311.25,47,5517,1719738.25
